ガミガミ	唠唠叨叨，不断唠叨地责备	scolding repeatedly in an annoying way	母がガミガミ言う。	妈妈一直在唠叨我。
バタバタ	忙乱、慌张的样子	in a flurry; hectic	朝はいつもバタバタしている。	每天早上都很慌张。
ふわふわ	轻飘飘的，柔软的	soft and fluffy; floating lightly	ふわふわのパンケーキが好き。	我喜欢松软的松饼。
ビリビリ	撕裂声，刺痛感	tearing sound; electric sting sensation	紙をビリビリに破った。	把纸撕得稀烂。
ドキドキ	心跳加速的样子，紧张	heart pounding with excitement or nervousness	試験の前はいつもドキドキする。	考试前总是很紧张。
浮き浮き	心情雀跃、兴奋	cheerful; buoyant; elated	旅行の前の日は浮き浮きして眠れない。	旅行前一天我因为太兴奋而睡不着。
がっくり	沮丧、失望的样子	dejected; disappointed	試験に落ちてがっくりした。	考试没通过我很沮丧。
ぼってり	丰满、厚实、鼓鼓的样子	plump; thick; swollen	ぼってりした唇が魅力的だ。	丰满的嘴唇很有魅力。
てかてか	油光发亮、闪亮亮的样子	shiny (from oil or moisture); glossy	額が汗でてかてかしている。	额头因为汗水闪闪发亮。
からから	干涸，干巴巴，没有水分，或者空荡荡的声音	very dry or rattling sound; parched	暑すぎて、のどがからからだ。	太热了，我口渴得慌。
ほくほく	松软热乎、（吃到）香甜绵软的样子	warm and fluffy, often for cooked food like potatoes	焼きたてのお芋がほくほくしている。	刚烤好的地瓜松软又香甜。
こせこせ	小气、吝啬；碎碎念、挑剔的样子	petty; niggling; fussy	彼はこせこせ細かいことを言う。	他为小事吹毛求疵。
よたよた	摇摇晃晃地走（或行动）	tottering; unsteady walking	老人がよたよた歩いている。	老人摇摇晃晃地走着。
しっぽり	安静地、宁静柔和地，沉浸于一种安静氛围	quietly and intimately, often in an atmospheric way	夜桜をしっぽり眺める。	静静地欣赏夜樱。
キョロキョロ	到处张望、东张西望	looking around restlessly	初めての場所でキョロキョロする。	在陌生的地方东张西望。
よろよろ	摇摇晃晃、走不稳	reeling; unsteady; tottering	酔っぱらってよろよろ歩く。	喝醉了摇摇晃晃地走。
うじうじ	犹豫不决，拖泥带水	hesitant; indecisive; whining	いつまでもうじうじ悩んでいる。	一直犹豫不决。
しとしと	细雨绵绵地静静下着雨	drizzling quietly and continuously	雨がしとしと降っている。	雨在轻轻地下个不停。
